2026-06-24T11:19:00.755Z [INFO]: Server started : http://localhost:5000
2026-06-24T12:11:16.073Z [ERROR]: read ECONNRESET
2026-06-24T12:11:17.163Z [ERROR]: getaddrinfo ENOTFOUND immediate-observable-serendipitous-98564.db.redis.io
2026-06-24T12:11:17.291Z [ERROR]: getaddrinfo ENOTFOUND immediate-observable-serendipitous-98564.db.redis.io
2026-06-24T12:11:17.445Z [ERROR]: getaddrinfo ENOTFOUND immediate-observable-serendipitous-98564.db.redis.io
2026-06-24T12:11:17.694Z [ERROR]: getaddrinfo ENOTFOUND immediate-observable-serendipitous-98564.db.redis.io
2026-06-24T12:11:18.200Z [ERROR]: getaddrinfo ENOTFOUND immediate-observable-serendipitous-98564.db.redis.io
2026-06-24T12:11:19.101Z [ERROR]: getaddrinfo ENOTFOUND immediate-observable-serendipitous-98564.db.redis.io
2026-06-24T12:11:27.016Z [ERROR]: Connection timeout
2026-06-24T12:11:34.304Z [ERROR]: Connection timeout
2026-06-24T12:11:41.437Z [ERROR]: Connection timeout
2026-06-24T12:11:48.594Z [ERROR]: Connection timeout
2026-06-24T12:11:55.746Z [ERROR]: Connection timeout
2026-06-24T12:12:03.015Z [ERROR]: Connection timeout
2026-06-24T12:12:10.371Z [ERROR]: Connection timeout
2026-06-24T12:12:18.597Z [ERROR]: Connection timeout
2026-06-24T12:12:25.900Z [ERROR]: Connection timeout
2026-06-24T12:12:33.077Z [ERROR]: Connection timeout
2026-06-24T12:12:40.206Z [ERROR]: Connection timeout
2026-06-24T12:12:47.404Z [ERROR]: Connection timeout
2026-06-24T12:12:54.623Z [ERROR]: Connection timeout
2026-06-24T12:13:01.783Z [ERROR]: Connection timeout
2026-06-24T12:13:09.920Z [ERROR]: Connection timeout
2026-06-24T12:13:17.082Z [ERROR]: Connection timeout
2026-06-24T12:13:24.239Z [ERROR]: Connection timeout
2026-06-24T12:13:32.488Z [ERROR]: Connection timeout
2026-06-24T12:13:39.669Z [ERROR]: Connection timeout
2026-06-24T12:13:46.948Z [ERROR]: Connection timeout
2026-06-24T12:13:54.215Z [ERROR]: Connection timeout
2026-06-24T12:14:01.443Z [ERROR]: Connection timeout
2026-06-24T12:14:08.776Z [ERROR]: Connection timeout
2026-06-24T12:14:16.949Z [ERROR]: Connection timeout
2026-06-24T12:14:24.210Z [ERROR]: Connection timeout
2026-06-24T12:14:31.544Z [ERROR]: Connection timeout
2026-06-24T12:14:38.665Z [ERROR]: Connection timeout
2026-06-24T12:14:45.839Z [ERROR]: Connection timeout
2026-06-24T12:14:53.081Z [ERROR]: Connection timeout
2026-06-24T12:15:00.197Z [ERROR]: Connection timeout
2026-06-24T12:15:08.436Z [ERROR]: Connection timeout
2026-06-24T12:15:15.707Z [ERROR]: Connection timeout
2026-06-24T12:15:22.910Z [ERROR]: Connection timeout
2026-06-24T12:15:30.116Z [ERROR]: Connection timeout
2026-06-24T12:15:37.305Z [ERROR]: Connection timeout
2026-06-24T12:15:44.505Z [ERROR]: Connection timeout
2026-06-24T12:15:51.691Z [ERROR]: Connection timeout
2026-06-24T12:15:58.873Z [ERROR]: Connection timeout
2026-06-24T12:16:06.196Z [ERROR]: Connection timeout
2026-06-24T12:16:13.348Z [ERROR]: Connection timeout
2026-06-24T12:16:20.716Z [ERROR]: Connection timeout
2026-06-24T12:16:28.051Z [ERROR]: Connection timeout
2026-06-24T12:16:35.348Z [ERROR]: Connection timeout
2026-06-24T12:16:42.654Z [ERROR]: Connection timeout
2026-06-24T12:16:49.806Z [ERROR]: Connection timeout
2026-06-24T12:16:57.041Z [ERROR]: Connection timeout
2026-06-24T12:17:04.308Z [ERROR]: Connection timeout
2026-06-24T12:17:11.488Z [ERROR]: Connection timeout
2026-06-24T12:17:18.705Z [ERROR]: Connection timeout
2026-06-24T12:17:25.886Z [ERROR]: Connection timeout
2026-06-24T12:17:33.078Z [ERROR]: Connection timeout
2026-06-24T12:17:40.343Z [ERROR]: Connection timeout
2026-06-24T12:17:47.649Z [ERROR]: Connection timeout
2026-06-24T12:17:54.894Z [ERROR]: Connection timeout
2026-06-24T12:18:02.167Z [ERROR]: Connection timeout
